307.062	-53.4872
293.807	-55.6432
31.8482	-58.0387
311.596	-65.5586
223.022	-66.3555
228.154	-66.9547
30.9714	-68.6965
94.5348	-69.2073
313.675	-69.8778
240.827	-70.8236
129.277	-71.9139
289.514	-72.5698
67.2739	-76.8756
117.679	-77.2303
334.646	-77.6233
17.6339	-78.4188
342.792	-78.6136
118.552	-79.987
114.674	-81.031
295.386	-81.4249
121.474	-82.2364
76.5432	-82.3913
83.1005	-82.4271
276.176	-83.5032
105.176	-83.7049
313.882	-85.6121
51.1125	-85.9665
345.4	-87.0797
200.501	-87.4923
254.149	-89.5531
347.544	-93.2208
38.0188	-95.0025
61.2863	-95.2183
310.064	-96.1523
110.451	-98.1131
196.546	-99.4425
311.26	-99.8558
206.37	-100.719
342.892	-102.362
86.7942	-102.627
58.7141	-102.748
61.6926	-102.805
163.735	-104.011
173.123	-104.506
289.49	-106.497
127.857	-106.646
351.777	-108.517
319.209	-108.586
219.246	-108.618
69.9366	-111.687
50.3452	-112.073
298.286	-115.052
40.868	-115.913
53.7854	-116.727
100.474	-117.006
354.904	-117.296
279.406	-118.961
52.5018	-120.554
290.683	-127.662
158.844	-130.961
283.312	-132.285
352.495	-137.968
81.1546	-142.144
85.1521	-142.403
358.285	-142.661
191.74	-143.375
104.239	-149.353
278.163	-152.181
