multipath	0	0	223
6 76 56 2 142.311 54.2469 2 10.377 50.759 2 142.311 47.2711 2 61.437 45.133 2 45 21 2 	-247.988
6 76 56 2 142.311 53.1096 2 10.377 47.3587 2 61.437 45.133 2 56.1988 66.341 2 45 21 2 	-178.741
6 76 56 2 142.311 53.1096 2 10.377 47.3587 2 61.437 45.133 2 10.377 30.7517 2 45 21 2 	-232.629
5 76 56 2 142.311 53.1096 2 10.377 47.3587 2 61.437 45.133 2 45 21 2 	-211.808
6 76 56 2 142.311 53.1096 2 10.377 47.3587 2 61.437 45.133 2 48.8207 10.517 2 45 21 2 	-223.171
6 76 56 2 142.311 51.1041 2 61.437 45.133 2 57.4537 66.341 2 46.9689 10.517 2 45 21 2 	-142.795
5 76 56 2 142.311 51.1041 2 61.437 45.133 2 56.1988 66.341 2 45 21 2 	-120.19
6 76 56 2 142.311 51.1041 2 61.437 45.133 2 34.1313 66.341 2 10.377 47.8913 2 45 21 2 	-113.436
5 76 56 2 142.311 51.1041 2 61.437 45.133 2 10.377 30.7517 2 45 21 2 	-144.526
4 76 56 2 142.311 51.1041 2 61.437 45.133 2 45 21 2 	-121.458
5 76 56 2 142.311 51.1041 2 61.437 45.133 2 48.8207 10.517 2 45 21 2 	-132.995
6 76 56 2 142.311 51.1041 2 61.437 45.133 2 57.2466 10.517 2 50.4888 66.341 2 45 21 2 	-186.769
6 76 56 2 142.311 47.7187 2 121.607 45.133 2 75.1262 66.341 2 10.377 36.7976 2 45 21 2 	-162.582
6 76 56 2 142.311 47.7187 2 121.607 45.133 2 142.311 37.221 2 72.4319 10.517 2 45 21 2 	-124.459
6 76 56 2 142.311 45.373 2 121.607 42.055 2 142.311 38.737 2 121.607 35.419 2 45 21 2 	-224.997
5 76 56 2 142.311 44.6803 2 121.607 41.146 2 142.311 37.6116 2 45 21 2 	-108.081
6 76 56 2 142.311 43.1358 2 121.607 39.1193 2 142.311 35.1027 2 15.579 10.517 2 45 21 2 	-146.988
6 76 56 2 142.311 40.316 2 121.607 35.419 2 142.311 33.8248 2 10.377 23.666 2 45 21 2 	-195.037
5 76 56 2 142.311 40.316 2 121.607 35.419 2 142.311 32.8894 2 45 21 2 	-149.19
6 76 56 2 142.311 40.316 2 121.607 35.419 2 142.311 29.2112 2 79.9626 10.517 2 45 21 2 	-136.479
6 76 56 2 142.311 40.316 2 121.607 35.419 2 91.9032 10.517 2 62.1994 35.419 2 45 21 2 	-110.458
5 76 56 2 142.311 40.316 2 121.607 35.419 2 67.6952 10.517 2 45 21 2 	-134.835
4 76 56 2 142.311 40.316 2 121.607 35.419 2 45 21 2 	-163.69
5 76 56 2 142.311 40.316 2 121.607 35.419 2 10.377 24.4228 2 45 21 2 	-182.308
6 76 56 2 142.311 40.316 2 121.607 35.419 2 10.377 30.7084 2 142.311 25.1211 2 45 21 2 	-246.384
5 76 56 2 121.607 45.133 2 75.1262 66.341 2 10.377 36.7976 2 45 21 2 	-129.401
6 76 56 2 121.607 45.133 2 142.311 41.9989 2 121.607 38.8648 2 142.311 35.7307 2 45 21 2 	-178.732
5 76 56 2 121.607 45.133 2 142.311 37.221 2 72.4319 10.517 2 45 21 2 	-119.231
6 76 56 2 121.607 45.133 2 142.311 32.1618 2 107.762 10.517 2 68.015 35.419 2 45 21 2 	-94.6078
6 76 56 2 116.147 45.133 2 142.311 52.2149 2 90.123 66.341 2 10.377 34.7261 2 45 21 2 	-130.672
6 76 56 2 103.778 45.133 2 142.311 60.207 2 46.9948 97.495 2 10.377 83.17 2 45 21 2 	-105.759
