pdpinfo	0	0	1	9
0	0	0	0	5.9e+09	9.99343e-08	-37.4128
0	0	0	1	5.9e+09	1.23941e-07	-39.9325
0	0	0	2	5.9e+09	1.38821e-07	-39.9852
0	0	0	3	5.9e+09	1.17923e-07	-41.7928
0	0	0	4	5.9e+09	1.58994e-07	-57.1063
0	0	0	5	5.9e+09	1.4107e-07	-70.2434
0	0	0	6	5.9e+09	1.79608e-07	-70.4884
0	0	0	7	5.9e+09	1.73992e-07	-98.2275
0	0	0	8	5.9e+09	2.13998e-07	-133.477
pdpinfo	1	0	1	20
1	0	0	0	5.9e+09	3.04005e-08	-26.7811
1	0	0	1	5.9e+09	4.54398e-08	-30.3692
1	0	0	2	5.9e+09	5.05488e-08	-31.8901
1	0	0	3	5.9e+09	3.32013e-08	-33.6362
1	0	0	4	5.9e+09	1.98205e-07	-62.2098
1	0	0	5	5.9e+09	2.42354e-07	-82.9887
1	0	0	6	5.9e+09	3.00973e-07	-98.2262
1	0	0	7	5.9e+09	3.42625e-07	-106.851
1	0	0	8	5.9e+09	2.33308e-07	-107.414
1	0	0	9	5.9e+09	7.67611e-08	-112.452
1	0	0	10	5.9e+09	2.93584e-07	-120.406
1	0	0	11	5.9e+09	1.841e-07	-123.443
1	0	0	12	5.9e+09	3.39768e-07	-158.959
1	0	0	13	5.9e+09	4.46299e-07	-175.563
1	0	0	14	5.9e+09	2.30461e-07	-192.547
1	0	0	15	5.9e+09	2.91245e-07	-205.626
1	0	0	16	5.9e+09	4.44921e-07	-264.26
1	0	0	17	5.9e+09	4.9127e-07	-310.217
1	0	0	18	5.9e+09	5.52036e-07	-317.072
1	0	0	19	5.9e+09	3.37602e-07	-337.804
pdpinfo	2	0	1	5
2	0	0	0	5.9e+09	1.83755e-07	-43.7248
2	0	0	1	5.9e+09	2.11664e-07	-43.8613
2	0	0	2	5.9e+09	1.7295e-07	-50.208
2	0	0	3	5.9e+09	2.00711e-07	-61.493
2	0	0	4	5.9e+09	2.32275e-07	-78.0063
