1	28	28	37.2771	45.0407	19.4023
1	30	28	28.8257	27.6546	1.22403
1	32	28	31.0384	27.4683	1.09879
1	34	28	33.0555	27.5345	1.05294
1	36	28	36.6098	26.7008	1.43524
1	38	28	38.4467	26.8805	1.20531
1	40	28	40.1097	26.4722	1.5317
1	42	28	41.321	27.5123	0.836046
1	44	28	44.2915	26.6981	1.33416
1	46	28	45.4341	27.5048	0.751997
1	48	28	48.956	25.9587	2.25404
1	50	28	50.7559	25.8224	2.30504
1	52	28	52.7696	25.9431	2.19617
1	54	28	54.8392	26.1754	2.00836
1	56	28	56.175	28.2622	0.315278
1	58	28	59.0476	27.0161	1.43721
1	60	28	60.5016	26.1219	1.94397
1	62	28	62.9186	27.6796	0.972911
1	64	28	64.1025	25.2968	2.70512
1	66	28	66.4109	27.3562	0.763763
1	68	28	67.9558	27.6987	0.304505
1	70	28	69.9222	28.3128	0.322367
1	72	28	71.8354	29.7432	1.75095
1	74	28	73.7377	26.9693	1.06357
1	76	28	75.794	25.7533	2.25611
1	78	28	77.5236	26.4658	1.6065
1	80	28	80.1465	27.7169	0.318802
1	82	28	83.0902	22.7325	5.37914
1	84	28	85.3269	22.6309	5.53061
1	86	28	86.4379	27.4041	0.73948
1	88	28	88.5938	27.3031	0.915605
1	90	28	90.6906	27.2748	1.00143
1	92	28	93.0968	26.9531	1.51623
1	94	28	94.0164	29.1029	1.10302
1	96	28	94.0535	26.7011	2.34011
1	98	28	99.8486	27.128	2.04389
1	100	28	102.291	26.8893	2.54581
1	102	28	103.14	26.5981	1.80672
1	104	28	106.564	26.5113	2.96447
1	106	28	106.092	26.5018	1.50105
1	108	28	108.579	26.0316	2.05196
1	110	28	99.3119	16.2325	15.8969
1	112	28	112.513	26.7598	1.34191
1	114	28	114.818	26.9906	1.29922
1	116	28	118.128	27.9877	2.12841
1	118	28	119.055	27.1153	1.37676
1	120	28	122.354	27.9399	2.35514
1	122	28	134.585	35.3045	14.5513
1	124	28	125.236	27.0831	1.53897
1	126	28	128.686	27.9165	2.68709
1	128	28	128.593	26.5956	1.5244
1	130	28	138.333	29.6447	8.49386
1	132	28	76.3153	50.3955	60.0196
1	134	28	134.044	27.205	0.796189
1	28	30	22.1814	29.4304	5.84645
1	30	30	31.7595	29.965	1.75986
1	32	30	33.6495	29.9974	1.64946
1	34	30	28.9533	29.4604	5.07551
1	36	30	34.0928	26.456	4.02459
1	38	30	36.6756	26.9756	3.30171
1	40	30	39.5506	27.9065	2.1412
1	42	30	39.171	28.1146	3.39975
1	44	30	41.3901	28.1387	3.20565
1	46	30	62.5144	52.6307	28.0156
1	48	30	47.4845	29.4531	0.751522
1	50	30	49.473	29.4994	0.726861
1	52	30	51.9221	29.9178	0.113241
1	54	30	53.5419	29.4526	0.713742
1	56	30	55.5722	29.4036	0.734
1	58	30	58.0579	30.0916	0.108364
1	60	30	58.9155	20.0938	9.96537
1	62	30	61.7164	22.0092	7.9958
1	64	30	57.6912	52.5461	23.4121
1	66	30	66.5287	26.3658	3.67245
1	68	30	67.8881	28.9375	1.06835
1	70	30	69.9802	27.3019	2.6982
1	72	30	72.4297	33.1655	3.19452
1	74	30	75.6083	22.3638	7.80375
1	76	30	77.206	26.1848	4.00128
1	78	30	80.0201	25.2022	5.20573
1	80	30	80.2892	29.4507	0.620806
1	82	30	68.2518	42.9884	18.9133
1	84	30	68.3424	44.1144	21.0802
1	86	30	69.3625	47.3293	24.0232
1	88	30	76.8015	51.9247	24.6191
1	90	30	93.2074	26.9529	4.42407
1	92	30	95.2837	26.7396	4.6274
1	94	30	93.7634	30.9134	0.94351
1	96	30	99.8857	26.6579	5.12532
1	98	30	102.216	26.5757	5.4317
1	100	30	104.591	26.4791	5.78532
1	102	30	106.607	26.7671	5.62811
1	104	30	102.502	26.4558	3.84796
1	106	30	111.117	26.8306	6.01912
1	108	30	104.271	28.5684	3.99411
1	110	30	110.184	31.3469	1.35931
1	112	30	113.919	30.0237	1.91935
1	114	30	113.477	27.745	2.31489
1	116	30	100.336	52.006	27.0114
1	118	30	120.248	30.0429	2.24858
1	120	30	118.066	30.4256	1.97996
1	122	30	124.435	29.9861	2.4354
1	124	30	127.993	31.0627	4.1317
1	126	30	132.034	31.7215	6.27484
1	128	30	132.496	28.9617	4.61443
1	130	30	132.896	29.9508	2.89677
1	132	30	134.107	29.2302	2.24332
1	134	30	139.788	30.4575	5.80621
1	28	32	26.3244	31.8088	1.68647
1	30	32	31.8503	31.8675	1.85508
1	32	32	33.7507	31.8883	1.75421
1	34	32	34.1197	30.656	1.34932
1	36	32	32.1295	26.7242	6.54335
1	38	32	35.6024	28.0302	4.63762
1	40	32	39.2644	29.7193	2.39639
1	42	32	42.1187	30.6748	1.33047
1	44	32	44.1756	30.7362	1.27593
1	46	32	62.7383	52.4333	26.4138
1	48	32	47.6105	31.6456	0.526628
1	50	32	49.4356	31.5094	0.747794
1	52	32	68.4758	48.681	23.4458
1	54	32	30.7598	69.3997	44.0323
1	56	32	65.6746	50.3497	20.7439
1	58	32	51.2118	45.338	14.966
1	60	32	52.2374	50.5267	20.0873
1	62	32	61.5762	30.9752	1.10898
1	64	32	63.6262	30.6908	1.36155
1	66	32	68.4234	48.7185	16.8932
1	68	32	57.0857	35.8612	11.5772
1	70	32	69.9992	35.4483	3.44829
1	72	32	71.7572	34.127	2.14079
1	74	32	75.4589	25.8008	6.36856
1	76	32	77.808	26.8772	5.43246
1	78	32	78.9391	30.0249	2.187
1	80	32	80.41	35.3258	3.35099
1	82	32	82.3129	31.557	0.542356
